group_number,white_strain,replicate,n_joined_rows
Group 5,ancW,1,8
Group 5,ancW,2,8
Group 6,ancW,4,4
Group 6,ev11,4,4
Group 1,ancW,3,2
Group 1,ancW,4,2
Group 1,ev1,3,2
Group 1,ev1,4,2
Group 1,ev2,3,2
Group 1,ev2,4,2
Group 2,ancW,1,2
Group 2,ancW,2,2
Group 2,ancW,3,2
Group 2,ancW,5,2
Group 2,ev3,1,2
Group 2,ev3,3,2
Group 2,ev4,2,2
Group 2,ev4,5,2
Group 3,ancW,1,2
Group 3,ancW,2,2
Group 3,ancW,2B,2
Group 3,ancW,3,2
Group 3,ancW,4,2
Group 3,ancW,5,2
Group 3,ev5,2B,2
Group 3,ev5,3,2
Group 3,ev5,5,2
Group 3,ev6,1,2
Group 3,ev6,2,2
Group 5,ev9,1,2
Group 5,ev9,2,2
Group 5,ev10,1,2
Group 5,ev10,2,2
Group 6,ancW,3,2
Group 6,ev12,3,2
Group 6,ancW,1,1
Group 6,ancW,2,1
Group 6,ev11,1,1
Group 6,ev11,2,1
