predationYN,contrast,white_strain,estimate,std.error,df,t_ratio,p_value,p_adj_BH,sig_vs_ancW
no,ev1 - ancW,ev1,0.17195152158146412,0.19992905654460988,36,0.8600626870016607,0.3954461122659153,0.5946467208660384,ns
no,ev3 - ancW,ev3,0.2570018878818313,0.19992905654461024,36,1.2854654162012034,0.20683785079313022,0.5946467208660384,ns
no,ev4 - ancW,ev4,0.14444163885251013,0.1457220888866787,36,0.9912130683553108,0.3281974328891686,0.5946467208660384,ns
no,ev5 - ancW,ev5,0.04696119978348918,0.12243104332258518,36,0.38357265044090433,0.7035512185109691,0.7035512185109691,ns
no,ev6 - ancW,ev6,NA,NA,NA,NA,NA,NA,NA
no,ev10 - ancW,ev10,0.09246310414694062,0.14572208888667845,36,0.6345167356120254,0.5297556184147236,0.6357067420976683,ns
no,ev11 - ancW,ev11,0.125066421387541,0.14572208888667848,36,0.8582530098425885,0.3964311472440256,0.5946467208660384,ns
yes,ev1 - ancW,ev1,-0.048767089986312184,0.2008879544034023,36,-0.2427576612601828,0.8095709601187573,0.8716767521968665,ns
yes,ev3 - ancW,ev3,0.03268132271210025,0.20088795440340232,36,0.16268433221472808,0.8716767521968665,0.8716767521968665,ns
yes,ev4 - ancW,ev4,0.2020818832925951,0.14703492701757132,36,1.3743801380500935,0.17781977192880496,0.739407914840926,ns
yes,ev5 - ancW,ev5,0.021106625847494967,0.12399073732590787,36,0.17022744039352314,0.865784349019977,0.8716767521968665,ns
yes,ev6 - ancW,ev6,0.20389706124225757,0.2008879544034023,36,1.0149790307128754,0.31688910636039685,0.739407914840926,ns
yes,ev10 - ancW,ev10,0.03460124187339878,0.20088795440340237,36,0.17224149639114825,0.8642123409980437,0.8716767521968665,ns
yes,ev11 - ancW,ev11,0.1378968087287642,0.12399073732590783,36,1.112154114918314,0.27344387550238114,0.739407914840926,ns
