predationYN,white_strain,n,mean_delta_pW,estimate,statistic,p.value,conf.low,conf.high,method,parameter,alternative,p_adj_BH,sig_vs0
Choose value,ancW,1,-0.08904109589041098,-0.08904109589041098,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,ancW,20,-0.08299557127638482,-0.08299557127638482,-1.9615958981132153,0.06462995341430959,-0.17155189791732015,0.0055607553645504945,One Sample t-test,19,two.sided,0.4524096739001671,ns
no,ev10,2,-0.009776878972985709,-0.009776878972985709,-0.5235522682515508,0.6929510225771671,-0.24705409739938072,0.2275003394534093,One Sample t-test,1,two.sided,0.8819376650982127,ns
no,ev2,1,-0.03502673796791439,-0.03502673796791439,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,ev12,2,-0.03903162055335968,-0.03903162055335968,-1,0.49999999999999956,-0.5349753824890319,0.45691214138231256,One Sample t-test,1,two.sided,0.7777777777777771,ns
no,ev4,2,0.042201655732583554,0.042201655732583554,0.38340369673963176,0.7669221294107337,-1.3563839147866132,1.4407872262517805,One Sample t-test,1,two.sided,0.8947424843125227,ns
no,ev6,3,-0.2217587168117161,-0.2217587168117161,-2.651042602429966,0.11769186155262122,-0.5816739997125214,0.13815656608908916,One Sample t-test,2,two.sided,0.45738017093701244,ns
no,ev11,2,0.022826438267614768,0.022826438267614768,0.10509672619047633,0.9333380615308827,-2.7368922374626354,2.7825451139978647,One Sample t-test,1,two.sided,0.9333380615308827,ns
no,ev9,1,-0.13884031293143118,-0.13884031293143118,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,ev1,3,0.08598168835980155,0.08598168835980155,0.9782251527009614,0.4311225599233195,-0.2922025620740649,0.464165938793668,One Sample t-test,2,two.sided,0.7777777777777771,ns
no,ev3,1,0.15476190476190477,0.15476190476190477,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,ev5,3,-0.05676026481791864,-0.05676026481791864,-1.220458150406909,0.34665862146019055,-0.25686520760411374,0.14334467796827643,One Sample t-test,2,two.sided,0.7777777777777771,ns
yes,ancW,17,-0.07316343889832283,-0.07316343889832283,-1.5931834377715022,0.1306800488391464,-0.17051541868462647,0.024188540887980798,One Sample t-test,16,two.sided,0.45738017093701244,ns
yes,ev10,1,-0.07427055702917773,-0.07427055702917773,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,ev2,1,-0.05695847362514028,-0.05695847362514028,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,ev12,2,0.03903162055335968,0.03903162055335968,1,0.49999999999999956,-0.45691214138231256,0.5349753824890319,One Sample t-test,1,two.sided,0.7777777777777771,ns
yes,ev4,2,0.09321008439001888,0.09321008439001888,46.87242343455398,0.013579908268032565,0.06794263865213519,0.11847753012790256,One Sample t-test,1,two.sided,0.1901187157524559,ns
yes,ev6,1,-0.24571805006587621,-0.24571805006587621,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,ev11,3,0.029025009826187814,0.029025009826187814,0.19953489790926138,0.8602912649839254,-0.596853165210859,0.6549031848632346,One Sample t-test,2,two.sided,0.926467516136535,ns
yes,ev1,2,-0.013417508417508411,-0.013417508417508411,-0.8191161356628991,0.5630949039000643,-0.22155113145282757,0.19471611461781074,One Sample t-test,1,two.sided,0.7883328654600901,ns
yes,ev3,1,-0.0761904761904762,-0.0761904761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,ev5,3,-0.05967826261522985,-0.05967826261522985,-0.9969361764599868,0.42383080480097735,-0.317242232718014,0.1978857074875543,One Sample t-test,2,two.sided,0.7777777777777771,ns
